,BDEP,TPO,HL,BHT,RPM,TOR,DEPT,WOB,Annotation
1607130720314,5063.135,19.548730759029663,522.50398646109,18.982,0.0,0.0,5795.817,13.38,on_slips
1607130720822,5063.135,15.586150199766896,523.1599864440919,19.068,0.0,0.0,5795.817,12.73,on_slips
1607130721329,5062.959,18.492042609892927,524.4419864108733,19.164,0.0,0.0,5795.817,11.45,on_slips
1607130721838,5062.959,16.114494274335264,525.0539863950153,19.249,0.0,0.0,5795.817,10.84,on_slips
1607130722346,5062.778,17.699526498040374,526.0819863683784,19.347,0.0,0.0,5795.817,9.81,on_slips
1607130722853,5062.778,17.699526498040374,526.5219863569772,19.347,0.0,0.0,5795.817,9.37,on_slips
1607130723360,5062.596,19.020386684461297,526.9659863454725,19.53,0.0,0.0,5795.817,8.92,on_slips
1607130723867,5062.596,18.492042609892927,526.9839863450061,19.621,0.0,0.0,5795.817,8.91,on_slips
1607130724374,5062.407,18.492042609892927,526.621986354386,19.728,0.0,0.0,5795.817,9.27,on_slips
1607130724883,5062.216,17.699526498040374,525.875986373716,19.812,0.0,0.0,5795.817,10.01,on_slips
1607130725390,5062.216,19.020386684461297,524.5419864082821,19.916,0.0,0.0,5795.817,11.35,on_slips
1607130725898,5062.216,19.020386684461297,523.8899864251765,20.015,0.0,0.0,5795.817,12.0,on_slips
1607130726405,5062.013,13.472773901493415,522.4499864624892,20.093,0.0,0.0,5795.817,13.44,on_slips
1607130726812,5062.013,17.699526498040374,521.8899864769996,20.173,0.0,0.0,5795.817,14.0,on_slips
1607130727324,5061.855,16.642838348903634,520.7539865064352,20.264,0.0,0.0,5795.817,15.13,on_slips
1607130727832,5061.677,17.699526498040374,520.3479865169553,20.351,0.0,0.0,5795.817,15.54,on_slips
1607130728340,5061.677,18.492042609892927,520.2759865188209,20.433,0.0,0.0,5795.817,15.61,on_slips
1607130728848,5061.677,19.020386684461297,520.4479865143642,20.514,0.0,0.0,5795.817,15.44,on_slips
1607130729355,5061.515,19.020386684461297,520.7339865069536,20.595,0.0,0.0,5795.817,15.16,on_slips
1607130729859,5061.515,16.114494274335264,521.611986484203,20.682,0.0,0.0,5795.817,14.28,on_slips
1607130730368,5061.346,19.020386684461297,522.0759864721801,20.77,0.0,0.0,5795.817,13.81,on_slips
1607130730877,5061.17,19.020386684461297,524.3439864134126,20.947,0.0,0.0,5795.817,11.55,on_slips
1607130731385,5061.17,19.020386684461297,524.6819864046545,21.042,0.0,0.0,5795.817,11.21,on_slips
1607130731893,5060.986,14.001117976061783,525.0899863940826,21.122,0.0,0.0,5795.817,10.8,on_slips
1607130732401,5060.986,18.492042609892927,525.183986391647,21.205,0.0,0.0,5795.817,10.7,on_slips
1607130732808,5060.735,17.171182423472004,524.8899863992649,21.293,0.0,0.0,5795.817,11.0,on_slips
1607130733315,5060.735,17.171182423472004,524.7419864030999,21.293,0.0,0.0,5795.817,11.15,on_slips
1607130733823,5060.555,18.492042609892927,524.3919864121689,21.474,0.0,0.0,5795.817,11.5,on_slips
1607130734330,5060.555,18.492042609892927,524.2439864160038,21.474,0.0,0.0,5795.817,11.64,on_slips
1607130734837,5060.555,17.699526498040374,523.9719864230517,21.559,0.0,0.0,5795.817,11.92,on_slips
1607130735345,5060.387,13.472773901493415,523.8119864271976,21.641,0.0,0.0,5795.817,12.08,on_slips
1607130735852,5060.387,18.492042609892927,523.5579864337791,21.729,0.0,0.0,5795.817,12.33,on_slips
1607130736360,5060.218,17.171182423472004,523.5979864327426,21.81,0.0,0.0,5795.817,12.29,on_slips
1607130736868,5060.218,19.020386684461297,523.407986437666,21.889,0.0,0.0,5795.817,12.48,on_slips
1607130737374,5060.059,19.020386684461297,523.4179864374067,21.97,0.0,0.0,5795.817,12.47,on_slips
1607130737881,5060.059,16.114494274335264,523.1639864439883,22.145,0.0,0.0,5795.817,12.72,on_slips
1607130738387,5059.883,17.699526498040374,522.9139864504662,22.237,0.0,0.0,5795.817,12.98,on_slips
1607130738893,5059.703,17.171182423472004,522.8219864528501,22.325,0.0,0.0,5795.817,13.07,on_slips
1607130739400,5059.703,18.492042609892927,522.5819864590688,22.408,0.0,0.0,5795.817,13.31,on_slips
1607130739807,5059.531,19.020386684461297,522.6139864582398,22.498,0.0,0.0,5795.817,13.27,on_slips
1607130740316,5059.531,17.699526498040374,522.9859864486006,22.579,0.0,0.0,5795.817,12.9,on_slips
1607130740824,5059.531,12.151913715072494,523.1219864450766,22.667,0.0,0.0,5795.817,12.77,on_slips
1607130741328,5059.361,18.492042609892927,523.3159864400498,22.759,0.0,0.0,5795.817,12.57,on_slips
1607130741878,5059.361,17.171182423472004,523.409986437614,22.848,0.0,0.0,5795.817,12.48,on_slips
1607130742386,5059.18,19.020386684461297,523.9199864243991,22.94,0.0,0.0,5795.817,11.97,on_slips
1607130742894,5059.18,19.020386684461297,524.1139864193723,22.94,0.0,0.0,5795.817,11.78,on_slips
1607130743301,5059.008,12.944429826925049,524.427986411236,23.111,0.0,0.0,5795.817,11.46,on_slips
1607130743809,5059.008,17.699526498040374,524.2139864167812,23.111,0.0,0.0,5795.817,11.68,on_slips
1607130744324,5058.828,17.699526498040374,524.563986407712,23.28,0.0,0.0,5795.817,11.33,on_slips
1607130744832,5058.828,17.171182423472004,524.4159864115471,23.361,0.0,0.0,5795.817,11.47,on_slips
1607130745340,5058.666,18.492042609892927,524.7019864041363,23.441,0.0,0.0,5795.817,11.19,on_slips
1607130745848,5058.666,19.020386684461297,524.4819864098367,23.53,0.0,0.0,5795.817,11.41,on_slips
1607130746356,5058.498,12.151913715072494,524.3939864121171,23.611,0.0,0.0,5795.817,11.5,on_slips
1607130746864,5058.498,19.548730759029663,524.1599864181803,23.709,0.0,0.0,5795.817,11.73,on_slips
1607130747371,5058.319,17.171182423472004,524.0519864209788,23.797,0.0,0.0,5795.817,11.84,on_slips
1607130747879,5058.319,19.548730759029663,523.9799864228445,23.874,0.0,0.0,5795.817,11.91,on_slips
1607130748387,5058.153,19.020386684461297,523.8599864259538,23.963,0.0,0.0,5795.817,12.03,on_slips
1607130748895,5057.981,14.529462050630157,524.0679864205642,24.047,0.0,0.0,5795.817,11.82,on_slips
1607130749302,5057.981,17.699526498040374,524.2659864154336,24.136,0.0,0.0,5795.817,11.62,on_slips
1607130749811,5057.981,17.171182423472004,524.7039864040844,24.225,0.0,0.0,5795.817,11.19,on_slips
1607130750320,5057.802,17.171182423472004,524.9279863982803,24.314,0.0,0.0,5795.817,10.96,on_slips
1607130750828,5057.624,18.492042609892927,525.6579863793648,24.484,0.0,0.0,5795.817,10.23,on_slips
1607130751338,5057.624,19.548730759029663,525.8219863751153,24.484,0.0,0.0,5795.817,10.07,on_slips
1607130751848,5057.456,18.492042609892927,525.9759863711249,24.572,0.0,0.0,5795.817,9.91,on_slips
1607130752355,5057.456,24.0396553928608,526.0019863704512,24.659,0.0,0.0,5795.817,9.89,on_slips
1607130752862,5057.456,22.71879520643988,525.7079863780692,24.743,0.0,0.0,5795.817,10.18,on_slips
1607130753368,5057.284,25.62468761656591,525.4179863855836,24.831,0.0,0.0,5795.817,10.47,on_slips
1607130753875,5057.112,21.133762982734773,524.4079864117543,24.994,0.0,0.0,5795.817,11.48,on_slips
1607130754382,5057.112,22.71879520643988,523.9499864236218,24.994,0.0,0.0,5795.817,11.94,on_slips
1607130754889,5056.941,23.51131131829243,523.0419864471496,25.165,0.0,0.0,5795.817,12.85,on_slips
1607130755396,5056.941,23.51131131829243,522.741986454923,25.165,0.0,0.0,5795.817,13.15,on_slips
1607130755803,5056.941,25.09634354199754,522.3619864647693,25.257,0.0,0.0,5795.817,13.53,on_slips
1607130756310,5056.691,23.51131131829243,522.3499864650804,25.337,0.0,0.0,5795.817,13.54,on_slips
1607130756888,5056.691,26.15303169113428,522.537986460209,25.417,0.0,0.0,5795.817,13.35,on_slips
1607130757396,5056.515,22.190451131871512,523.1059864454911,25.513,0.0,0.0,5795.817,12.78,on_slips
1607130757803,5056.353,22.190451131871512,523.8699864256947,25.675,0.0,0.0,5795.817,12.02,on_slips
1607130758311,5056.353,16.642838348903634,524.2579864156411,25.675,0.0,0.0,5795.817,11.63,on_slips
1607130758820,5056.353,21.133762982734773,525.139986392787,25.848,0.0,0.0,5795.817,10.75,on_slips
1607130759328,5056.179,24.0396553928608,525.5899863811269,25.927,0.0,0.0,5795.817,10.3,on_slips
1607130759835,5056.179,22.71879520643988,525.7339863773956,26.009,0.0,0.0,5795.817,10.15,on_slips
1607130760343,5056.018,23.51131131829243,525.839986374649,26.099,0.0,0.0,5795.817,10.05,on_slips
1607130760851,5056.018,16.114494274335264,525.8559863742342,26.099,0.0,0.0,5795.817,10.03,on_slips
1607130761361,5055.848,21.662107057303142,525.411986385739,26.268,0.0,0.0,5795.817,10.48,on_slips
1607130761869,5055.848,25.62468761656591,525.3179863881747,26.351,0.0,0.0,5795.817,10.57,on_slips
